36,90,153,3
138,114,81,2
92,63,150,3
168,112,192,3
122,164,103,2
171,154,57,2
42,16,14,1
106,135,93,2
221,45,77,1
163,84,24,1
83,1,99,3
149,222,205,2
69,172,253,3
164,235,209,2
173,138,163,3
186,148,137,2
201,243,135,2
68,25,18,1
233,149,124,1
143,171,70,2
141,54,195,3
120,174,94,2
224,84,225,3
170,130,169,3
23,155,119,2
48,74,131,3
202,179,44,2
10,31,105,3
227,66,146,1
237,29,4,1
155,222,163,2
225,244,17,2
131,194,133,2
249,16,127,1
167,108,183,3
46,25,247,3
35,98,152,3
28,215,32,2
228,197,208,3
49,138,191,3
101,135,101,2
175,140,241,3
148,20,160,3
23,202,179,2
193,190,212,3
166,159,219,3
30,99,105,3
202,125,44,1
36,35,183,3
209,34,115,1
87,202,109,2
124,180,242,3
197,196,80,2
127,243,136,2
243,119,234,3
191,86,143,1
82,148,24,2
28,19,216,3
39,232,221,2
215,192,10,2
219,98,233,3
95,22,101,3
85,20,143,3
244,139,226,3
74,171,154,2
242,5,218,1
201,154,22,2
153,209,44,2
214,179,14,2
106,129,49,2
182,22,101,1
112,147,241,3
9,46,2,2
231,43,105,1
30,91,127,3
206,166,207,3
186,44,153,1
180,66,191,3
216,234,187,2
207,221,100,2
111,43,110,3
69,48,55,1
241,147,89,1
69,204,156,2
177,238,199,2
228,148,82,1
148,162,26,2
107,76,44,2
27,196,31,2
234,140,72,1
145,212,65,2
59,163,75,2
158,190,48,2
35,18,155,3
40,150,68,2
91,2,136,3
218,30,56,1
129,80,75,1
244,62,42,1
239,6,65,1
231,152,249,3
135,161,17,2
197,76,39,1
223,166,254,3
153,52,76,1
198,11,32,1
166,175,176,3
211,66,246,3
197,4,96,1
78,205,39,2
71,109,168,3
115,118,229,3
9,82,130,3
163,102,2,2
118,162,21,2
175,120,89,1
252,115,131,1
153,41,199,3
34,105,79,2
162,208,115,2
152,98,229,3
75,97,158,3
148,213,143,2
251,103,14,1
61,12,249,3
212,36,41,1
98,116,39,2
66,164,128,2
176,62,46,1
139,188,124,2
251,248,190,2
70,136,79,2
213,193,49,2
145,189,129,2
159,36,131,1
134,215,119,2
30,49,235,3
182,120,183,3
163,183,22,2
158,27,4,1
94,113,178,3
48,240,69,2
55,177,183,3
57,28,204,3
57,16,193,3
91,29,190,3
176,43,42,1
73,167,5,2
223,83,236,3
105,115,248,3
192,12,115,1
233,31,40,1
21,164,238,3
184,171,176,3
182,175,35,2
80,66,60,2
109,172,58,2
21,21,227,3
36,50,179,3
134,61,62,1
225,171,83,2
248,248,112,2
112,171,163,2
39,87,46,2
221,237,49,2
74,22,20,1
103,166,30,2
65,250,116,2
189,173,209,3
104,102,200,3
120,103,53,2
85,146,231,3
121,181,69,2
77,120,17,2
123,41,41,1
174,48,192,3
85,74,209,3
197,95,226,3
220,208,126,2
79,241,109,2
211,128,240,3
97,180,184,3
148,229,66,2
221,239,145,2
175,223,187,2
246,212,84,2
197,19,150,1
17,42,178,3
131,226,241,3
17,183,90,2
88,247,240,2
77,131,238,3
250,192,14,2
63,237,221,2
221,137,150,1
228,195,104,2
51,41,139,3
94,54,89,3
112,193,213,3
159,215,218,3
99,182,100,2
28,144,152,3
231,202,116,2
27,54,218,3
213,45,185,1
110,51,23,1
124,11,171,3
96,185,55,2
23,134,75,2
240,180,242,3
139,156,215,3
220,0,36,1
163,205,218,3
145,103,62,2
57,215,225,3
36,137,208,3
232,166,35,2
159,207,182,2
123,88,42,2
69,26,223,3
235,212,80,2
41,103,125,3
178,214,196,2
243,109,170,1
51,122,92,2
67,197,189,2
151,94,199,3
182,52,10,1
122,145,45,2
7,216,196,2
27,214,155,2
