139,39,110,1
112,164,18,2
94,37,104,3
94,136,229,3
99,101,163,3
204,23,238,3
247,3,230,3
219,233,186,2
40,91,187,3
215,50,10,1
123,6,141,3
40,206,177,2
116,85,211,3
53,74,130,3
118,128,122,2
135,237,155,2
148,251,101,2
95,124,178,3
178,89,47,1
133,206,166,2
44,7,199,3
57,247,177,2
120,190,173,2
147,232,216,2
249,4,139,1
48,184,0,2
238,162,169,1
191,213,133,2
253,81,194,1
87,180,251,3
79,1,133,3
17,29,19,2
142,54,152,3
226,216,33,2
241,19,154,1
106,241,242,3
133,98,93,1
254,203,211,3
120,169,226,3
20,191,118,2
111,105,164,3
15,128,49,2
8,189,201,3
4,183,198,3
224,207,18,2
124,175,200,3
238,248,217,2
189,177,71,2
173,26,29,1
206,188,154,2
13,31,182,3
181,55,239,3
199,103,220,3
151,130,71,2
37,144,140,2
96,32,63,1
228,7,188,1
98,205,205,3
129,213,54,2
39,70,199,3
238,106,242,3
1,76,231,3
81,245,175,2
229,228,177,2
60,0,64,3
179,166,142,2
61,162,215,3
208,154,195,3
254,48,171,1
141,189,124,2
202,78,174,3
209,192,71,2
65,18,44,1
181,229,60,2
21,115,65,2
162,153,47,2
113,126,216,3
9,192,3,2
55,4,65,3
104,209,212,3
138,205,125,2
0,123,196,3
123,77,203,3
234,55,222,3
72,246,44,2
83,170,53,2
137,67,64,1
169,174,41,2
134,221,226,3
46,184,95,2
225,96,220,3
119,9,151,3
21,184,222,3
77,6,213,3
194,233,192,2
26,24,78,3
102,245,169,2
178,143,29,2
131,28,66,1
223,199,16,2
254,47,179,1
98,223,127,2
168,147,219,3
220,74,151,1
95,230,35,2
222,179,236,3
197,234,82,2
73,4,217,3
237,52,26,1
139,118,243,3
133,41,160,3
88,1,150,3
40,40,30,2
246,202,155,2
203,25,234,3
182,119,58,1
100,10,152,3
83,208,191,2
217,134,126,1
147,79,119,1
50,46,2,2
155,120,57,2
122,41,104,1
104,40,76,1
192,46,28,1
200,32,215,3
146,100,203,3
248,50,186,1
80,140,61,2
182,178,189,3
203,161,230,3
246,56,221,3
105,215,13,2
25,185,56,2
172,5,246,3
151,162,174,3
184,223,39,2
211,103,130,1
24,7,169,3
19,243,1,2
210,185,216,3
72,55,156,3
120,183,121,2
82,227,138,2
248,91,180,1
130,102,135,3
21,159,136,2
248,184,185,1
156,225,140,2
165,49,19,1
30,185,170,2
181,146,188,3
11,181,43,2
28,207,130,2
108,212,56,2
24,20,137,3
76,45,172,3
83,190,112,2
85,9,135,3
177,21,12,1
227,156,162,1
8,238,112,2
118,239,40,2
78,74,122,3
147,204,159,2
196,235,202,2
202,3,101,1
253,250,46,2
152,102,26,2
163,165,36,2
129,12,236,3
24,220,106,2
226,6,73,1
134,133,248,3
163,105,130,1
231,159,234,3
29,150,217,3
79,128,206,3
161,17,38,1
244,56,38,1
112,30,254,3
106,151,16,2
217,58,58,1
20,23,171,3
5,85,113,3
143,144,216,3
52,215,184,2
114,9,174,3
165,220,226,3
200,165,35,2
129,94,242,3
181,139,96,2
230,40,134,1
135,190,248,3
244,210,27,2
136,34,193,3
116,29,84,1
22,249,173,2
16,136,192,3
165,125,7,2
217,46,69,1
200,14,49,1
77,247,176,2
48,227,100,2
247,104,30,1
168,142,42,2
232,157,83,2
95,120,30,2
234,188,68,2
2,198,105,2
233,3,118,1
19,210,179,2
127,99,197,3
47,196,245,3
64,20,84,3
227,14,91,1
56,218,32,2
137,99,22,2
98,147,228,3
176,93,230,3
249,160,59,2
125,131,245,3
102,240,58,2
247,206,201,2
148,149,164,3
201,84,59,1
131,182,5,2
181,162,247,3
211,234,208,2
167,63,53,1
174,32,41,1
180,106,183,3
227,30,95,1
168,151,248,3
15,235,53,2
254,227,220,2
83,10,246,3
6,104,179,3
137,188,244,3
142,225,39,2
7,109,215,3
165,172,125,2
161,168,245,3
142,144,38,2
147,77,83,1
104,87,110,3
109,157,63,2
64,39,182,3
57,71,87,3
152,195,232,3
91,35,131,3
110,170,8,2
124,123,235,3
17,16,151,3
201,242,102,2
101,176,70,2
172,114,215,3
84,134,14,2
129,192,117,2
19,204,6,2
191,33,146,1
127,36,111,1
247,171,143,1
54,251,241,2
240,143,111,1
8,191,223,3
23,197,118,2
244,114,136,1
101,127,12,2
112,232,200,2
173,123,4,2
133,35,137,3
207,171,133,2
42,82,171,3
220,221,214,2
131,239,54,2
45,67,112,3
149,174,74,2
70,208,59,2
202,139,172,3
101,90,183,3
220,100,97,1
139,115,50,2
92,169,29,2
159,240,14,2
88,217,190,2
156,96,13,2
226,249,241,2
91,73,175,3
178,222,79,2
213,38,111,1
225,248,242,2
49,235,138,2
177,57,79,1
221,213,105,2
177,104,7,2
32,157,158,3
197,80,129,1
61,197,239,3
202,253,142,2
244,154,144,1
59,52,81,3
237,247,96,2
53,186,115,2
86,106,51,2
99,185,23,2
78,132,107,2
94,113,202,3
105,125,63,2
31,215,19,2
220,57,173,1
106,226,153,2
162,37,39,1
150,90,98,1
165,118,237,3
129,95,30,2
236,167,234,3
226,25,59,1
53,246,74,2
186,167,187,3
91,131,232,3
48,33,232,3
205,130,245,3
237,252,19,2
176,180,174,2
241,12,87,1
245,205,182,2
174,104,203,3
178,248,133,2
181,66,84,1
90,186,70,2
221,2,80,1
47,215,206,2
183,201,238,3
227,252,174,2
7,61,19,2
106,1,134,3
105,70,7,2
133,254,164,2
189,155,225,3
77,145,81,2
117,159,120,2
248,209,168,2
158,28,173,3
185,241,17,2
92,107,181,3
131,207,193,2
90,227,52,2
239,129,65,1
63,131,220,3
74,181,181,3
69,181,118,2
157,64,201,3
28,23,134,3
209,57,124,1
227,235,69,2
62,44,248,3
167,128,11,2
13,94,148,3
111,212,7,2
122,247,201,2
66,122,99,2
207,231,151,2
132,226,208,2
225,161,87,2
47,38,53,3
248,143,113,1
250,155,98,1
212,115,189,3
234,6,92,1
22,20,29,3
54,175,213,3
89,37,252,3
